Keyword,Relevant
climate,1
change,1
nuclear,1
warming,1
economic,0
science,0
weather,1
scientists,0
1,0
scientific,0
rise,1
collapse,1
global,1
causes,0
environmental,1
ipcc,1
impacts,0
noaa,1
deniers,1
anthropogenic,1
0,0
temperature,1
oil,1
denier,1
geological,1
ecological,1
alarmists,1
natural,1
droughts,1
alarmist,1
underlying,0
geoengineering,1
greenhouse,1
gas,1
coal,1
political,0
skeptics,1
times,0
atmospheric,1
climates,1
emissions,1
prevailing,0
co2,1
environment,1
arctic,1
pollution,1
oceans,1
drought,1
agriculture,1
glaciers,1
antarctic,1
wildfires,1
disasters,0
ecosystems,1
antarctica,1
precipitation,1
hurricanes,1
biodiversity,1
rainfall,1
humidity,1
currents,0
habitat,1
deforestation,1
volcanoes,1
deserts,1
extinctions,1
temperate,0
glaciation,1
desertification,1
manmade,1
biosphere,1
arid,1
snowpack,1
erosion,1
agw,1
russia,0
ukraine,0
china,0
israel,0
iran,0
nato,0
time,0
people,0
hamas,0
gaza,0
energy,1
europe,0
india,0
taiwan,0
power,0
atmosphere,1
war,0
carbon,1
world,1
france,0
earth,1
palestinians,0
canada,0
germany,0
genocide,0
united,0
fuel,1
state,0
west,0
nuke,1
biden,0
democracy,0
ice,0
propaganda,0
japan,0
states,0
fossil,1
hezbollah,0
history,0
wikipedia,0
climate change,1
just,0
lol,0
like,0
think,0
yes,0
russian,0
know,0
years,0
putin,0
co2 levels,1
don,0
population,0
article,0
fossil fuels,1
right,0
good,0
agree,0
green,0
point,0
did,0
co2 atmosphere,1
wrong,0
ice age,1
maybe,0
thanks,0
global warming,1
really,0
